n,x,y
1.0,6734.0,1453.0
2.0,2233.0,10.0
3.0,5530.0,1424.0
4.0,401.0,841.0
5.0,3082.0,1644.0
6.0,7608.0,4458.0
7.0,7573.0,3716.0
8.0,7265.0,1268.0
9.0,6898.0,1885.0
10.0,1112.0,2049.0
11.0,5468.0,2606.0
12.0,5989.0,2873.0
13.0,4706.0,2674.0
14.0,4612.0,2035.0
15.0,6347.0,2683.0
16.0,6107.0,669.0
17.0,7611.0,5184.0
18.0,7462.0,3590.0
19.0,7732.0,4723.0
20.0,5900.0,3561.0
21.0,4483.0,3369.0
22.0,6101.0,1110.0
23.0,5199.0,2182.0
24.0,1633.0,2809.0
25.0,4307.0,2322.0
26.0,675.0,1006.0
27.0,7555.0,4819.0
28.0,7541.0,3981.0
29.0,3177.0,756.0
30.0,7352.0,4506.0
31.0,7545.0,2801.0
32.0,3245.0,3305.0
33.0,6426.0,3173.0
34.0,4608.0,1198.0
35.0,23.0,2216.0
36.0,7248.0,3779.0
37.0,7762.0,4595.0
38.0,7392.0,2244.0
39.0,3484.0,2829.0
40.0,6271.0,2135.0
41.0,4985.0,140.0
42.0,1916.0,1569.0
43.0,7280.0,4899.0
44.0,7509.0,3239.0
45.0,10.0,2676.0
46.0,6807.0,2993.0
47.0,5185.0,3258.0
48.0,3023.0,1942.0
